archArea,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,hhldCnt,hoCnt,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,roofCd,roofCdNm,sigunguCd,splotNm,strctCd,strctCdNm,totArea,vlRatEstmTotArea
27,10100, , ,0031,20100818,0,0,0,0007, , , , , ,11110-1813,11110-1370,0,서울특별시 종로구 청운동 31-7번지,47, , ,11110, ,32,경량철골구조,27,0
0,10100, , ,0038,20151014,1,0,0,0001, ,0,주건축물,01000,단독주택,11110-100023421,11110-100023936,0,서울특별시 종로구 청운동 38-1번지,48,20,기와,11110, ,11,벽돌구조,181.08,0
74.11,10100,청운동 근린생활시설, ,0039,20140327,0,0,0,0006, ,0,주건축물,04000,제2종근린생활시설,11110-2301,11110-1827,0,서울특별시 종로구 청운동 39-6번지,49,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,331.41,222.33
184.36,10100,청운동 다세대주택, ,0040,20090326,0,6,0,0003, ,0,주건축물,02000,공동주택,11110-1434,11110-1032,0,서울특별시 종로구 청운동 40-3번지,50,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,553.08,553.08
149.4,10100,한혜진씨근/생주택, ,0040,20140206,1,0,0,0003, ,0,주건축물,04000,제2종근린생활시설,11110-2231,11110-1758,0,서울특별시 종로구 청운동 40-3번지,51,10,(철근)콘크리트,11110, ,31,일반철골구조,387,387
0,10100, , ,0040,20180914,0,0,0,0003, ,0,주건축물,04000,제2종근린생활시설,11110-100018799,11110-100019422,0,서울특별시 종로구 청운동 40-3번지,52,10,(철근)콘크리트,11110, ,31,일반철골구조,61.2,61.2
121.42,10100, , ,0048,20150730,0,0,0,0000, ,0,주건축물,04000,제2종근린생활시설,11110-100022796,11110-100023269,0,서울특별시 종로구 청운동 48번지,53,10,(철근)콘크리트,11110, ,11,벽돌구조,268.89,237.22
0,10100, , ,0049,20160706,1,0,0,0002, ,0,주건축물,04000,제2종근린생활시설,11110-100025422,11110-100025772,0,서울특별시 종로구 청운동 49-2번지,54,20,기와,11110, ,51,일반목구조,63.64,0
0,10100, , ,0049,20160706,1,0,0,0002, ,0,주건축물,04000,제2종근린생활시설,11110-100025423,11110-100025772,0,서울특별시 종로구 청운동 49-2번지,55,20,기와,11110, ,11,벽돌구조,60.51,0
107.01,10100, , ,0049,20170524,1,0,0,0002, ,0,주건축물,04000,제2종근린생활시설,11110-100027973,11110-100024571,0,서울특별시 종로구 청운동 49-2번지,56,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,471.49,314.83
0,10100, , ,0049,20160706,1,0,0,0003, ,0,주건축물,01000,단독주택,11110-100025421,11110-100025771,0,서울특별시 종로구 청운동 49-3번지,57,20,기와,11110, ,51,일반목구조,63.64,0
72.12,10100,청운동 50-6 단독주택, ,0050,20170421,0,1,0,0006, ,0,주건축물,04000,제2종근린생활시설,11110-100027778,11110-100025737,0,서울특별시 종로구 청운동 50-6번지,58,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,116.79,116.79
176.07,10100,다세대주택, ,0050,20131206,0,8,0,0010, ,0,주건축물,02000,공동주택,11110-1420,11110-1020,0,서울특별시 종로구 청운동 50-10번지,59,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,657.83,657.83
83.01,10100, , ,0050,20180421,1,0,0,0030, ,0,주건축물,01000,단독주택,11110-100030593,11110-100030448,0,서울특별시 종로구 청운동 50-30번지,60,20,기와,11110, ,11,벽돌구조,133.72,133.72
192.28,10100, , ,0050,20190213,0,7,0,0030, ,0,주건축물,02000,공동주택,11110-100036065,11110-100024762,0,서울특별시 종로구 청운동 50-30번지,61,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,606.38,606.38
0,10100, , ,0050,20160805,1,0,0,0040, ,0,주건축물,01000,단독주택,11110-100025713,11110-100025971,0,서울특별시 종로구 청운동 50-40번지,62,10,(철근)콘크리트,11110, ,11,벽돌구조,327.23,0
163.26,10100,청운동 50-40 단독주택 (김광옥), ,0050,20170722,0,1,0,0040, ,0,주건축물,01000,단독주택,11110-100028573,11110-100025972,0,서울특별시 종로구 청운동 50-40번지,63,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,313.11,313.11
35.96,10100,청운동 50-62 단독주택 (이경철), ,0050,20150903,1,0,0,0062, ,0,주건축물,01000,단독주택,11110-100023032,11110-100022515,0,서울특별시 종로구 청운동 50-62번지,64,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,121.34,98.88
122.1,10100, , ,0051,20130618,0,4,0,0005, ,0,주건축물,02000,공동주택,11110-886,11110-517,0,서울특별시 종로구 청운동 51-5번지,65,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,430.02,430.02
121.43,10100, , ,0051,20130618,0,4,0,0005, ,0,주건축물,02000,공동주택,11110-785,11110-418,0,서울특별시 종로구 청운동 51-5번지,66,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,437.18,437.18
123.76,10100,청운동 52-2 단독주택 (홍은표), ,0052,20160608,2,0,0,0002, ,0,주건축물,01000,단독주택,11110-100025165,11110-100023810,0,서울특별시 종로구 청운동 52-2번지,67,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,351.8,311.2
88.35,10100, , ,0052,20100616,1,0,0,0005, ,0,주건축물,01000,단독주택,11110-100009970,11110-100012124,0,서울특별시 종로구 청운동 52-5번지,68,10,(철근)콘크리트,11110, ,11,벽돌구조,248.58,174.9
166.38,10100, , ,0052,20101123,0,8,0,0005, ,0,주건축물,02000,공동주택,11110-100010849,11110-100011904,0,서울특별시 종로구 청운동 52-5번지,69,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,596.6,596.6
0,10100, , ,0052,20141001,0,8,0,0005, ,0,주건축물,02000,공동주택,11110-100020075,11110-100020788,0,서울특별시 종로구 청운동 52-5번지,70,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,40.48,40.48
166.38,10100,효산빌리지, ,0052,20180328,0,8,0,0005, ,0,주건축물,02000,공동주택,11110-100030336,11110-100030171,0,서울특별시 종로구 청운동 52-5번지,71,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,637.08,637.08
97.6,10100,신현빌라트, ,0052,20090326,0,4,0,0006, ,0,주건축물,02000,공동주택,11110-1193,11110-794,0,서울특별시 종로구 청운동 52-6번지,72,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,458.28,363.2
111.02,10100,청운빌라, ,0052,20130618,0,3,0,0010, ,0,주건축물,02000,공동주택,11110-841,11110-472,0,서울특별시 종로구 청운동 52-10번지,73,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,487.48,327.24
102.41,10100, , ,0052,20100604,0,4,0,0015, ,0,주건축물,02000,공동주택,11110-813,11110-446,0,서울특별시 종로구 청운동 52-15번지,74,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,485.32,383.55
101.76,10100,청운빌라, ,0052,20090326,0,4,0,0016, ,0,주건축물,02000,공동주택,11110-2998,11110-2465,0,서울특별시 종로구 청운동 52-16번지,75,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,407.49,317.61
110.88,10100,다세대주택, ,0052,20090326,0,4,0,0018, ,0,주건축물,02000,공동주택,11110-936,11110-567,0,서울특별시 종로구 청운동 52-18번지,76,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,532.32,421.44
110.88,10100,'빈귀자'씨다세대주택, ,0052,20120204,0,4,0,0018, ,0,주건축물,02000,공동주택,11110-836,11110-467,0,서울특별시 종로구 청운동 52-18번지,77,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,432.32,421.44
44.43,10100,단독주택,52,0052,20090326,1,0,0,0023,23,0,주건축물,01000,단독주택,11110-1508,11110-1080,0,서울특별시 종로구 청운동 52-23번지,78,10,(철근)콘크리트,11110,서울시 종로구 청운동,21,철근콘크리트구조,158.16,88.86
73.45,10100, , ,0052,20100112,3,0,0,0026, ,0,주건축물,01000,단독주택,11110-100009088,11110-100008788,0,서울특별시 종로구 청운동 52-26번지,79,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,334.31,212.55
0,10100, , ,0052,20100325,1,0,0,0026, ,0,주건축물,01000,단독주택,11110-100007932,11110-100009995,0,서울특별시 종로구 청운동 52-26번지,80,20,기와,11110, ,11,벽돌구조,112.4,0
0,10100, , ,0052,20161022,0,0,0,0028, ,0,주건축물,13000,운동시설,11110-100026431,11110-100026582,0,서울특별시 종로구 청운동 52-28번지,81,90,기타지붕,11110, ,21,철근콘크리트구조,4775.48,0
64.7,10100, , ,0052,20100616,4,0,0,0037, ,0,주건축물,01000,단독주택,11110-100009969,11110-100012123,0,서울특별시 종로구 청운동 52-37번지,82,10,(철근)콘크리트,11110, ,11,벽돌구조,194.1,129.4
61.28,10100,청운동근생주택, ,0052,20090326,1,0,0,0038, ,0,주건축물,01000,단독주택,11110-1269,11110-869,0,서울특별시 종로구 청운동 52-38번지,83,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,190.65,190.65
32.99,10100,청운동 52-42 단독주택 (고경희), ,0052,20091024,2,0,0,0042, ,0,주건축물,01000,단독주택,11110-100008722,11110-100010883,0,서울특별시 종로구 청운동 52-42번지,84,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,90.69,90.69
0,10100, , ,0052,20100325,1,0,0,0042, ,0,주건축물,01000,단독주택,11110-100008307,11110-100010702,0,서울특별시 종로구 청운동 52-42번지,85,20,기와,11110, ,51,일반목구조,49.59,0
82.65,10100,청운동 단독주택, ,0052,20090326,1,0,0,0051, ,0,주건축물,01000,단독주택,11110-3102,11110-2556,0,서울특별시 종로구 청운동 52-51번지,86,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,328.32,163.41
76.76,10100,청운동 한옥주택, ,0052,20140902,0,1,0,0057, ,0,주건축물,01000,단독주택,11110-4016,11110-3380,0,서울특별시 종로구 청운동 52-57번지,87,20,기와,11110, ,51,일반목구조,76.76,76.76
56.2,10100, , ,0052,20120217,1,0,0,0083, ,0,주건축물,01000,단독주택,11110-100013684,11110-100015299,0,서울특별시 종로구 청운동 52-83번지,88,20,기와,11110, ,51,일반목구조,56.2,56.2
86.05,10100, , ,0052,20120217,1,0,0,0083, ,0,주건축물,01000,단독주택,11110-100013683,11110-100015298,0,서울특별시 종로구 청운동 52-83번지,89,20,기와,11110, ,51,일반목구조,95.87,86.05
119.59,10100, , ,0052,20120731,2,0,0,0083, ,0,주건축물,01000,단독주택,11110-100014654,11110-100015218,0,서울특별시 종로구 청운동 52-83번지,90,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,278.42,235.91
15.45,10100, , ,0052,20140710,2,0,0,0083, ,0,주건축물,01000,단독주택,11110-100019445,11110-100020246,0,서울특별시 종로구 청운동 52-83번지,91,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,15.45,15.45
126.35,10100,청운동50-106주택, ,0052,20090326,1,0,0,0106, ,0,주건축물,01000,단독주택,11110-4553,11110-3856,0,서울특별시 종로구 청운동 52-106번지,92,20,기와,11110, ,11,벽돌구조,266.23,230.36
157.91,10100, , ,0052,20100818,1,1,0,0108, ,0,주건축물,01000,단독주택,11110-1044,11110-674,0,서울특별시 종로구 청운동 52-108번지,93,10,(철근)콘크리트,11110, ,11,벽돌구조,320.08,270.79
112.31,10100,청운동단독주택, ,0052,20190109,0,1,0,0127, ,0,주건축물,01000,단독주택,11110-100034942,11110-100033809,0,서울특별시 종로구 청운동 52-127번지,94,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,254.55,254.55
97.85,10100,청운동 52-128 다세대주택, ,0052,20190124,0,2,0,0128, ,0,주건축물,02000,공동주택,11110-100034943,11110-100033810,0,서울특별시 종로구 청운동 52-128번지,95,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,291.75,219
93.7,10100,청운동 52-131 공동주택 (윤성원), ,0052,20190323,0,3,0,0131, ,0,주건축물,02000,공동주택,11110-100037325,11110-100035831,0,서울특별시 종로구 청운동 52-131번지,96,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,438.74,266.43
148.26,10100, , ,0053,20130315,1,0,0,0003, ,0,주건축물,01000,단독주택,11110-100015976,11110-100017257,0,서울특별시 종로구 청운동 53-3번지,97,10,(철근)콘크리트,11110, ,11,벽돌구조,266.47,235.83
156.11,10100,청운동 53-3 단독주택 (황호양), ,0053,20180914,4,0,0,0003, ,0,주건축물,01000,단독주택,11110-100018422,11110-100017312,0,서울특별시 종로구 청운동 53-3번지,98,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,656.98,457.34
0,10100,청운동 단독주택, ,0053,20130803,1,0,0,0008, ,0,주건축물,01000,단독주택,11110-100016906,11110-100016882,0,서울특별시 종로구 청운동 53-8번지,99,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,23,23
47.48,10100,단독주택, ,0053,20141024,1,0,0,0008, ,0,주건축물,01000,단독주택,11110-1509,11110-1081,0,서울특별시 종로구 청운동 53-8번지,100,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,119.44,119.44
128.99,10100, , ,0053,20110226,1,0,0,0016, ,0,주건축물,01000,단독주택,11110-100011410,11110-100013380,0,서울특별시 종로구 청운동 53-16번지,101,20,기와,11110, ,11,벽돌구조,286.45,248.66
145.06,10100, , ,0053,20120425,0,1,0,0016, ,0,주건축물,01000,단독주택,11110-100014101,11110-100013593,0,서울특별시 종로구 청운동 53-16번지,102,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,369.74,263.38
100.84,10100,청운동다가구주택, ,0053,20090326,3,3,0,0017, ,0,주건축물,01000,단독주택,11110-96,11110-92,0,서울특별시 종로구 청운동 53-17번지,103,90,기타지붕,11110, ,11,벽돌구조,245.17,245.17
46.13,10100,., ,0053,20090326,0,1,0,0018, ,0,주건축물,01000,단독주택,11110-4826,11110-4107,0,서울특별시 종로구 청운동 53-18번지,104,90,기타지붕,11110, ,31,일반철골구조,137.43,137.43
73.81,10100, , ,0053,20130723,1,0,0,0019, ,0,주건축물,01000,단독주택,11110-100016742,11110-100017873,0,서울특별시 종로구 청운동 53-19번지,105,10,(철근)콘크리트,11110, ,12,블록구조,73.81,73.81
45.9,10100,청운동 53-19 단독주택 (김선규), ,0053,20140117,1,0,0,0019, ,0,주건축물,01000,단독주택,11110-100018203,11110-100018037,0,서울특별시 종로구 청운동 53-19번지,106,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,132.9,132.9
63.62,10100, , ,0053,20110308,1,0,0,0031, ,0,주건축물,01000,단독주택,11110-100011478,11110-100013449,0,서울특별시 종로구 청운동 53-31번지,107,10,(철근)콘크리트,11110, ,11,벽돌구조,100.25,100.25
36.72,10100, , ,0053,20120229,2,0,0,0031, ,0,주건축물,01000,단독주택,11110-100013768,11110-100013423,0,서울특별시 종로구 청운동 53-31번지,108,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,103.48,103.48
154.74,10100,뿌리의집, ,0053,20090326,0,0,0,0056, ,0,주건축물,04000,제2종근린생활시설,11110-3183,11110-2635,0,서울특별시 종로구 청운동 53-56번지,109,90,기타지붕,11110, ,11,벽돌구조,451.44,269.03
175.66,10100,청운동 G주택, ,0053,20090326,1,0,0,0057, ,0,주건축물,01000,단독주택,11110-100005536,11110-4073,0,서울특별시 종로구 청운동 53-57번지,110,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,634.53,411.17
0,10100, , ,0053,20130911,0,0,0,0060, ,0,주건축물,04000,제2종근린생활시설,11110-100017066,11110-100018204,0,서울특별시 종로구 청운동 53-60번지,111,10,(철근)콘크리트,11110, ,11,벽돌구조,0,0
0,10100, , ,0053,20131026,1,0,0,0060, ,0,주건축물,01000,단독주택,11110-100017378,11110-100018469,0,서울특별시 종로구 청운동 53-60번지,112,10,(철근)콘크리트,11110, ,11,벽돌구조,0,0
140.66,10100, , ,0053,20150508,1,0,0,0060, ,0,주건축물,01000,단독주택,11110-100022116,11110-100022710,0,서울특별시 종로구 청운동 53-60번지,113,10,(철근)콘크리트,11110, ,11,벽돌구조,288.46,274.15
140.66,10100, , ,0053,20180419,0,0,0,0060, ,0,주건축물,04000,제2종근린생활시설,11110-100030567,11110-100030423,0,서울특별시 종로구 청운동 53-60번지,114,10,(철근)콘크리트,11110, ,11,벽돌구조,288.46,274.15
10.53,10100, , ,0053,20090610,1,0,0,0078, ,0,주건축물,01000,단독주택,11110-100008035,11110-100007235,0,서울특별시 종로구 청운동 53-78번지,115,20,기와,11110, ,12,블록구조,26.85,26.85
36.8,10100,., ,0053,20140411,1,0,0,0083, ,0,주건축물,01000,단독주택,11110-4837,11110-4118,0,서울특별시 종로구 청운동 53-83번지,116,90,기타지붕,11110, ,31,일반철골구조,110.4,110.4
